name;LEFT;MIDDLE;RIGHT;pseudo register
TDC_TS_CORRECTION.CHAN0_TS_OFFSET;1609;1595;1602;True
TDC_TS_CORRECTION.CHAN1_TS_OFFSET;1683;1643;1672;True
TDC_TS_CORRECTION.CHAN2_TS_OFFSET;1606;1571;1584;True
TDC_TS_CORRECTION.CHAN3_TS_OFFSET;1601;1579;1601;True
TDC_TS_CORRECTION.CHAN4_TS_OFFSET;1566;1540;1549;True
TDC_TS_CORRECTION.CHAN5_TS_OFFSET;1453;1430;1451;True
TDC_TS_CORRECTION.CHAN6_TS_OFFSET;1609;1590;1605;True
TDC_TS_CORRECTION.CHAN7_TS_OFFSET;1699;1675;1692;True
TDC_TS_CORRECTION.CHAN8_TS_OFFSET;1514;1483;1509;True
TDC_TS_CORRECTION.CHAN9_TS_OFFSET;1583;1555;1576;True
TDC_TS_CORRECTION.CHAN10_TS_OFFSET;1690;1674;1685;True
TDC_TS_CORRECTION.CHAN11_TS_OFFSET;1486;1465;1480;True
TDC_TS_CORRECTION.CHAN12_TS_OFFSET;1934;1896;1913;True
TDC_TS_CORRECTION.CHAN13_TS_OFFSET;1518;1500;1501;True
TDC_TS_CORRECTION.CHAN14_TS_OFFSET;1539;1507;1528;True
TDC_TS_CORRECTION.CHAN15_TS_OFFSET;1709;1678;1700;True
TDC_TS_CORRECTION.CHAN16_TS_OFFSET;2092;2063;2088;True
TDC_TS_CORRECTION.CHAN17_TS_OFFSET;1510;1492;1518;True
TDC_TS_CORRECTION.CHAN18_TS_OFFSET;1965;1955;1971;True
TDC_TS_CORRECTION.CHAN19_TS_OFFSET;1552;1544;1544;True
TDC_TS_CORRECTION.CHAN20_TS_OFFSET;1619;1598;1608;True
TDC_TS_CORRECTION.CHAN21_TS_OFFSET;1595;1577;1598;True
TDC_TS_CORRECTION.CHAN22_TS_OFFSET;1548;1528;1548;True
TDC_TS_CORRECTION.CHAN23_TS_OFFSET;1871;1841;1865;True
TDC_TS_CORRECTION.CHAN24_TS_OFFSET;1541;1523;1549;True
TDC_TS_CORRECTION.CHAN25_TS_OFFSET;1694;1670;1691;True
TDC_TS_CORRECTION.CHAN26_TS_OFFSET;1429;1399;1419;True
TDC_TS_CORRECTION.CHAN27_TS_OFFSET;1706;1689;1700;True
TDC_TS_CORRECTION.CHAN28_TS_OFFSET;2087;2060;2078;True
TDC_TS_CORRECTION.CHAN29_TS_OFFSET;1760;1733;1747;True
TDC_TS_CORRECTION.CHAN30_TS_OFFSET;1441;1419;1427;True
TDC_TS_CORRECTION.CHAN31_TS_OFFSET;1466;1442;1448;True
TDC_TS_CORRECTION.CHAN32_TS_OFFSET;0;0;0;True
TDC_TS_CORRECTION.CHAN33_TS_OFFSET;0;0;0;True
TDC_CTRL.CMD_MEAS_EN_0.CHAN0;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN1;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN2;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN3;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN4;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN5;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN6;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN7;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN8;1;1;1;False
