name;LEFT;MIDDLE;RIGHT;pseudo register
TDC_TS_CORRECTION.CHAN0_TS_OFFSET;5912;5216;5234;True
TDC_TS_CORRECTION.CHAN1_TS_OFFSET;6145;5455;5491;True
TDC_TS_CORRECTION.CHAN2_TS_OFFSET;5834;5147;5163;True
TDC_TS_CORRECTION.CHAN3_TS_OFFSET;6160;5451;5478;True
TDC_TS_CORRECTION.CHAN4_TS_OFFSET;6167;5476;5518;True
TDC_TS_CORRECTION.CHAN5_TS_OFFSET;5726;5048;5071;True
TDC_TS_CORRECTION.CHAN6_TS_OFFSET;5944;5254;5265;True
TDC_TS_CORRECTION.CHAN7_TS_OFFSET;5916;5235;5239;True
TDC_TS_CORRECTION.CHAN8_TS_OFFSET;5835;5160;5171;True
TDC_TS_CORRECTION.CHAN9_TS_OFFSET;5924;5237;5251;True
TDC_TS_CORRECTION.CHAN10_TS_OFFSET;6311;5614;5645;True
TDC_TS_CORRECTION.CHAN11_TS_OFFSET;5859;5169;5184;True
TDC_TS_CORRECTION.CHAN12_TS_OFFSET;6345;5653;5681;True
TDC_TS_CORRECTION.CHAN13_TS_OFFSET;5883;5216;5219;True
TDC_TS_CORRECTION.CHAN14_TS_OFFSET;5779;5111;5123;True
TDC_TS_CORRECTION.CHAN15_TS_OFFSET;5961;5271;5288;True
TDC_TS_CORRECTION.CHAN16_TS_OFFSET;6379;5686;5713;True
TDC_TS_CORRECTION.CHAN17_TS_OFFSET;6024;5319;5337;True
TDC_TS_CORRECTION.CHAN18_TS_OFFSET;6004;5306;5318;True
TDC_TS_CORRECTION.CHAN19_TS_OFFSET;5816;5136;5137;True
TDC_TS_CORRECTION.CHAN20_TS_OFFSET;6283;5571;5603;True
TDC_TS_CORRECTION.CHAN21_TS_OFFSET;6273;5566;5594;True
TDC_TS_CORRECTION.CHAN22_TS_OFFSET;5889;5200;5202;True
TDC_TS_CORRECTION.CHAN23_TS_OFFSET;6108;5385;5426;True
TDC_TS_CORRECTION.CHAN24_TS_OFFSET;6172;5479;5478;True
TDC_TS_CORRECTION.CHAN25_TS_OFFSET;6027;5332;5350;True
TDC_TS_CORRECTION.CHAN26_TS_OFFSET;5773;5087;5096;True
TDC_TS_CORRECTION.CHAN27_TS_OFFSET;5935;5231;5240;True
TDC_TS_CORRECTION.CHAN28_TS_OFFSET;6112;5394;5429;True
TDC_TS_CORRECTION.CHAN29_TS_OFFSET;5713;5021;5031;True
TDC_TS_CORRECTION.CHAN30_TS_OFFSET;6193;5496;5508;True
TDC_TS_CORRECTION.CHAN31_TS_OFFSET;5804;5110;5119;True
TDC_TS_CORRECTION.CHAN32_TS_OFFSET;0;0;0;True
TDC_TS_CORRECTION.CHAN33_TS_OFFSET;0;0;0;True
TDC_CTRL.CMD_MEAS_EN_0.CHAN0;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN1;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN2;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN3;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN4;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN5;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN6;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN7;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN8;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN9;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN10;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN11;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN12;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN13;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN14;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN15;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN16;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN17;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN18;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN19;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN20;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN21;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN22;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN23;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN24;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN25;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN26;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN27;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN28;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN29;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN30;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN31;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_2.CHAN32;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_2.CHAN33;1;1;1;False
TDC_CTRL.INJECTION_BC0_TIMING_OFFSET;0;0;0;False
TDC_CTRL.BC0_CTRL.TIMING_OFFSET_EN;1;1;1;False
TDC_CTRL.BC0_CTRL.DISCARD_BC0_TS;0;0;0;False
TDC_CTRL.INJECTION_MODE;0;0;0;False
DATA_PATH_CTRL.FPGA_MIDDLE_DELAY.STEP_120MHz;;0x15;;False
DATA_PATH_CTRL.MAX_QUEUE_SIZE.NB_FRAMES;;0x25;;False
DATA_PATH_CTRL.STRIP_CLUSTERING_EN;;0;;False
DATA_PATH_CTRL.DISCARD_SINGLE_CHAN_DATA.FPGA_LEFT;;0;;False
DATA_PATH_CTRL.DISCARD_SINGLE_CHAN_DATA.FPGA_MIDDLE;;0;;False
DATA_PATH_CTRL.DISCARD_SINGLE_CHAN_DATA.FPGA_RIGHT;;0;;False
DATA_PATH_CTRL.MAX_READOUT_TIME_DRIFT.STEP_120MHz;0x28;0x28;0x28;False
DATA_PATH_CTRL.TDC_CHAN_DEAD_TIME.STEP_120MHz;;0;;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP0;1;1;1;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP1;1;1;1;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP2;1;1;1;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP3;1;1;1;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP4;1;1;1;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP5;1;1;1;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP6;1;1;1;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP7;1;1;1;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP8;1;1;1;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP9;1;1;1;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP10;1;1;1;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP11;1;1;1;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP12;1;1;1;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP13;1;1;1;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP14;1;1;1;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP15;1;1;1;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP0;287;520;638;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP1;273;505;640;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP2;259;491;640;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP3;244;477;640;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP4;229;462;641;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP5;215;448;641;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP6;200;434;636;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP7;181;419;632;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP8;171;404;625;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP9;157;390;616;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP10;143;375;606;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP11;131;361;592;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP12;112;347;578;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP13;108;331;564;False
